words,links,capital_words,spam_word_count,is_spam
835,5,18,10,1
624,9,11,9,1
590,2,30,8,1
860,3,23,5,1
250,9,4,2,1
388,5,17,5,1
164,2,3,1,0
85,4,16,10,1
495,5,1,5,0
39,0,0,1,0
133,2,1,0,0
114,8,4,2,1
189,0,2,6,0
178,0,1,0,0
81,10,22,8,1
392,7,10,2,1
101,1,14,6,1
45,1,1,1,0
528,2,12,0,1
810,6,15,4,1
199,2,8,2,0
148,3,5,1,0
128,2,8,3,1
167,5,1,1,0
89,4,2,2,0
184,2,3,2,0
211,1,9,0,0
207,7,25,8,1
494,1,2,0,0
140,0,2,1,0
413,8,28,4,1
95,1,3,1,0
39,2,1,0,0
145,0,16,3,1
301,1,21,3,1
167,5,3,1,0
519,4,0,4,1
151,0,0,5,0
452,6,12,6,1
237,8,10,3,1
159,0,0,0,0
115,0,3,0,0
216,0,2,2,0
166,2,5,4,1
122,1,3,1,0
336,3,3,4,0
155,2,8,1,0
840,7,24,5,1
212,4,1,10,1
130,7,2,6,1
385,4,2,6,1
149,6,5,0,1
237,0,7,2,0
335,0,10,9,1
945,2,9,1,1
79,4,20,3,1
458,2,2,2,0
67,7,22,9,1
60,1,7,3,0
351,4,27,2,1
130,8,10,3,1
110,9,12,0,1
286,4,3,2,0
102,2,0,2,0
579,3,7,10,1
589,8,20,6,1
414,8,11,10,1
958,2,19,4,1
443,0,3,1,0
138,2,3,7,1
479,1,0,1,0
83,2,0,0,0
864,9,29,4,1
60,0,9,4,0
90,3,7,5,1
185,2,21,6,1
326,8,11,4,1
166,0,1,3,0
412,1,2,2,0
345,0,1,1,0
297,2,13,7,1
297,10,22,7,1
959,2,30,6,1
139,1,0,3,0
341,4,27,3,1
205,1,8,0,0
64,1,5,2,0
750,6,21,2,1
216,0,8,2,0
274,4,3,4,0
28,0,0,2,0
393,8,10,3,1
48,3,2,0,0
77,2,5,3,1
125,1,0,0,0
243,2,2,4,0
318,7,26,5,1
164,1,2,5,0
182,2,5,4,0
158,2,8,3,1
81,10,0,8,1
745,2,5,7,1
210,0,1,1,0
739,3,5,1,1
121,7,5,8,1
505,10,3,6,1
59,1,0,1,0
240,5,19,9,1
521,1,5,9,1
